title,division,state,roster_link
Abilene Christian University,D1,TX,http://www.acusports.com/sports/baseball/roster/2022
Alabama A&M University,D1,AL,http://www.aamusports.com/sports/baseball/roster/2022
Alabama State University,D1,AL,https://bamastatesports.com/sports/baseball/roster/2022
Alcorn State University,D1,MS,http://www.alcornsports.com/sports/baseball/roster/2022
Appalachian State University,D1,NC,https://appstatesports.com/sports/baseball/roster/2022
Arizona State University,D1,AZ,https://thesundevils.com/sports/baseball/roster/2022
Arkansas State University,D1,AR,http://www.astateredwolves.com/sports/baseball/roster/2022
Auburn University,D1,AL,https://auburntigers.com/sports/baseball/roster/2022
Austin Peay State University,D1,TN,http://letsgopeay.com/sports/baseball/roster/2022
Ball State University,D1,IN,http://ballstatesports.com/sports/baseball/roster/2022
Baylor University,D1,TX,https://baylorbears.com/sports/baseball/roster/2022
Bellarmine University,D1,KY,https://athletics.bellarmine.edu/sports/baseball/roster/2022
Belmont University,D1,TN,https://belmont.prestosports.com/sports/m-basebl/2021-22/roster
Bethune-Cookman University,D1,FL,https://bcuathletics.com/sports/baseball/roster/2022
Binghamton University,D1,NY,http://bubearcats.com/sports/baseball/roster/2022
Boston College,D1,MA,http://bceagles.com/sports/baseball/roster/2022
Bowling Green State University,D1,OH,https://bgsufalcons.com/sports/baseball/roster/2022
Bradley University,D1,IL,https://bradleybraves.com/sports/baseball/roster/2022
Brigham Young University,D1,UT,https://byucougars.com/roster/baseball/2022
Brown University,D1,RI,https://brownbears.com/sports/baseball/roster/2022
Bryant University,D1,RI,http://www.bryantbulldogs.com/sports/bsb/2021-22/roster
Bucknell University,D1,PA,https://bucknellbison.com/sports/baseball/roster/2022
Butler University,D1,IN,https://butlersports.com/sports/baseball/roster/2022
California Baptist University,D1,CA,https://cbulancers.com/sports/baseball/roster/2022
California Polytechnic State University,D1,CA,https://gopoly.com/sports/baseball/roster/2022
"California State University, Bakersfield",D1,CA,https://gorunners.com/sports/baseball/roster/2022
"California State University, Fresno",D1,CA,http://www.gobulldogs.com/sports/baseball/roster/2022
"California State University, Fullerton",D1,CA,https://www.fullertontitans.com/sports/m-basebl/2021-22/roster
"California State University, Northridge",D1,CA,http://www.gomatadors.com/sports/baseball/roster/2022
Sacramento State University,D1,CA,http://www.hornetsports.com/sports/bsb/2021-22/roster
Campbell University,D1,NC,https://gocamels.com/sports/baseball/roster/2022
Canisius College,D1,NY,http://gogriffs.com/sports/baseball/roster/2022
Central Connecticut State University,D1,CT,http://www.ccsubluedevils.com/sports/bsb/2021-22/roster
Central Michigan University,D1,MI,https://cmuchippewas.com/sports/baseball/roster/2022
Charleston Southern University,D1,SC,https://www.csusports.com/sports/baseball/roster/2022
Clemson University,D1,SC,https://clemsontigers.com/sports/baseball/roster/season/2021
Coastal Carolina University,D1,SC,https://goccusports.com/sports/baseball/roster/2022
College of Charleston,D1,SC,https://www.cofcsports.com/sports/baseball/roster/2022
College of William & Mary,D1,VA,https://tribeathletics.com/sports/baseball/roster/2022
College of the Holy Cross,D1,MA,https://goholycross.com/sports/baseball/roster/2022
Columbia University,D1,NY,http://www.gocolumbialions.com/sports/baseball/roster/2022
Coppin State University,D1,MD,http://coppinstatesports.com/sports/baseball/roster/2022
Cornell University,D1,NY,http://cornellbigred.com/sports/baseball/roster/2022
Creighton University,D1,NE,http://gocreighton.com/sports/baseball/roster/2022
Dallas Baptist University,D1,TX,https://dbupatriots.com/sports/baseball/roster/2022
Dartmouth College,D1,NH,https://dartmouthsports.com/sports/baseball/roster/2022
Davidson College,D1,NC,https://davidsonwildcats.com/sports/baseball/roster/2022
Delaware State University,D1,DE,https://dsuhornets.com/sports/baseball/roster/2022
Dixie State University,D1,UT,https://dixiestateathletics.com/sports/baseball/roster/2022
Duke University,D1,NC,http://www.goduke.com/sports/baseball/roster/2022
East Carolina University,D1,NC,https://ecupirates.com/sports/baseball/roster/2022
East Tennessee State University,D1,TN,https://www.etsubucs.com/baseball/roster/2021-22
Eastern Illinois University,D1,IL,https://eiupanthers.com/sports/baseball/roster/2022
Eastern Kentucky University,D1,KY,https://ekusports.com/sports/baseball/roster/2022
Eastern Michigan University,D1,MI,https://emueagles.com/sports/baseball/roster/2022
Elon University,D1,NC,https://elonphoenix.com/sports/baseball/roster/2022
Fairfield University,D1,CT,https://fairfieldstags.com/sports/baseball/roster/2022
Fairleigh Dickinson University,D1,NJ,https://fduknights.com/sports/baseball/roster/2022
Florida A&M University,D1,FL,http://www.famuathletics.com/sports/baseball/roster/2022
Florida Atlantic University,D1,FL,https://fausports.com/sports/baseball/roster/2022
Florida Gulf Coast University,D1,FL,https://fgcuathletics.com/sports/baseball/roster/2022
Florida International University,D1,FL,https://fiusports.com/sports/baseball/roster/2022
Florida State University,D1,FL,https://seminoles.com/sports/baseball/roster/season/2021-22
Fordham University,D1,NY,https://fordhamsports.com/sports/baseball/roster/2022
Gardner-Webb University,D1,NC,https://gwusports.com/sports/baseball/roster/2022
George Mason University,D1,VA,https://gomason.com/sports/baseball/roster/2022
George Washington University,D1,DC,https://gwsports.com/sports/baseball/roster/2022
Georgetown University,D1,DC,http://www.guhoyas.com/sports/baseball/roster/2022
Georgia Institute of Technology,D1,GA,https://ramblinwreck.com/sports/m-basebl/roster/season/2021-22
Georgia Southern University,D1,GA,https://gseagles.com/sports/baseball/roster/2022
Georgia State University,D1,GA,http://www.georgiastatesports.com/sports/baseball/roster/2022
Gonzaga University,D1,WA,https://gozags.com/sports/baseball/roster/2022
Grambling State University,D1,LA,https://gsutigers.com/sports/baseball/roster/2022
Grand Canyon University,D1,AZ,https://gculopes.com/sports/baseball/roster/2022
Harvard University,D1,MA,https://gocrimson.com/sports/baseball/roster/2022
High Point University,D1,NC,https://highpointpanthers.com/sports/baseball/roster/2022
Hofstra University,D1,NY,https://gohofstra.com/sports/baseball/roster/2022
Houston Baptist University,D1,TX,https://hbuhuskies.com/sports/baseball/roster/2022
Illinois State University,D1,IL,https://goredbirds.com/sports/baseball/roster/2022
Indiana State University,D1,IN,https://gosycamores.com/sports/baseball/roster/2022
"Indiana University, Bloomington",D1,IN,https://iuhoosiers.com/sports/baseball/roster/2022
Iona College,D1,NY,https://icgaels.com/sports/baseball/roster/2022
Jackson State University,D1,MS,https://gojsutigers.com/sports/baseball/roster/2022
Jacksonville State University,D1,AL,https://jsugamecocksports.com/sports/baseball/roster/2022
Jacksonville University,D1,FL,https://judolphins.com/sports/baseball/roster/2022
James Madison University,D1,VA,https://jmusports.com/sports/baseball/roster/2022
Kansas State University,D1,KS,https://www.kstatesports.com/sports/baseball/roster/2022
Kennesaw State University,D1,GA,https://ksuowls.com/sports/baseball/roster/2022
Kent State University,D1,OH,https://kentstatesports.com/sports/baseball/roster/2022
La Salle University,D1,PA,https://goexplorers.com/sports/baseball/roster/2022
Lafayette College,D1,PA,https://www.goleopards.com/sports/baseball/roster/2022
Lamar University,D1,TX,https://lamarcardinals.com/sports/baseball/roster/2022
Lehigh University,D1,PA,https://lehighsports.com/sports/baseball/roster/2022
Liberty University,D1,VA,https://www.liberty.edu/flames/baseball/roster/?print=1
Lipscomb University,D1,TN,https://lipscombsports.com/sports/baseball/roster/2022
Long Beach State University,D1,CA,https://longbeachstate.com/sports/baseball/roster/2022
