Name,Position,School,Division,Type,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Games Started (GS),Innings Pitched (IP),Wins (W),Losses (L),Earned Runs (ER),Hits Allowed (H),Walks Allowed (BB),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Aaoron Vulcano,C/OF,Colby,JUCO: Division 1,A,2,5,1,1,0,0,1,1,0,0.2,0.2,0.8,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Aaron Marsh,INF,Cochise,JUCO: Division 1,A,10,25,5,3,1,0,0,1,2,0.12,0.185,0.16,0.345,0,0,0.0,0,0,0,0,0,0.0,0,0
Adamo Stornello,C,Crowder,JUCO: Division 1,A,3,9,0,3,1,0,0,2,0,0.333,0.333,0.444,0.777,0,0,0.0,0,0,0,0,0,0.0,0,0
Alejandro Cazorla,OF,Bossier Parish,JUCO: Division 1,A,11,43,16,16,4,0,2,13,5,0.372,0.472,0.605,1.077,0,0,0.0,0,0,0,0,0,0.0,0,0
Alex Fascia,C,Southwestern,JUCO: Division 1,A,2,4,0,1,0,0,0,0,0,0.25,0.25,0.25,0.5,0,0,0.0,0,0,0,0,0,0.0,0,0
Alex Horobetz,INF,Lake Region State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Alexis Gravel,OF/LHP,Weatherford,JUCO: Division 1,A,12,32,9,11,3,0,1,6,3,0.344,0.476,0.531,1.007,1,0,0.1,0,0,0,1,0,0.0,0,1
Alexis Hurens,OF,Seminole State (OK),JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1.0,0,1,1,2,1,9.0,0,3
Anderson Fenton,LHP,Marshalltown,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Andre Wojtarowicz,LHP/OF,Frontier,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,6.0,0,1,5,7,6,7.5,0,5
Andrew Baum,RHP,Williston State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Andrew Franson,LHP/P,Williston State,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Antoine Tremblay,OF,Mineral Area,JUCO: Division 1,A,7,24,5,11,2,0,0,4,2,0.458,0.552,0.542,1.094,0,0,0.0,0,0,0,0,0,0.0,0,0
Antony Gilbert,MIF,Northeastern Oklahoma A&M,JUCO: Division 1,A,1,3,1,2,0,0,0,0,2,0.667,0.667,0.667,1.334,0,0,0.0,0,0,0,0,0,0.0,0,0
Archer Blumenschein,RHP,Western Nebraska,JUCO: Division 1,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2.0,0,0,0,0,1,0.0,0,1
Austin Sykes,LHP,Roane State,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,13.1,0,1,13,21,4,8.78,0,13
Ayden Makarus,OF,Bossier Parish,JUCO: Division 1,A,8,31,6,9,2,0,2,9,0,0.29,0.361,0.548,0.909,0,0,0.0,0,0,0,0,0,0.0,0,0
Ayden Wood,LHP/OF,Southeastern,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2.2,0,1,2,2,1,6.75,0,4
Bailey Coish,OF,Frank Phillips,JUCO: Division 1,A,5,15,2,1,1,0,0,2,1,0.067,0.176,0.133,0.309,0,0,0.0,0,0,0,0,0,0.0,0,0
Ben Hubert,RHP,Kellogg,JUCO: Division 2,A,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,2.0,0,0,0,1,0,0.0,0,1
Ben Hul,OF,Williston State,JUCO: Division 2,A,1,3,1,2,1,0,0,3,0,0.667,0.75,1.0,1.75,0,0,0.0,0,0,0,0,0,0.0,0,0
Ben Salazar,C,Frontier,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Billy Patmore,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Blake Harsulla,OF,Colby,JUCO: Division 1,A,3,9,2,4,1,0,0,5,1,0.444,0.444,0.556,1.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Blake Pongracz,LHP,Pratt,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Braden Halladay,RHP,Tallahassee,JUCO: Division 1,A,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3,14.0,1,0,7,14,3,4.5,0,10
Brady Renneberg,OF/RHP,Mineral Area,JUCO: Division 1,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Brando Leroux,IF,Chipola,JUCO: Division 1,A,11,28,5,6,0,0,0,3,0,0.214,0.324,0.214,0.538,0,0,0.0,0,0,0,0,0,0.0,0,0
Braydon Cust,OF,Colby,JUCO: Division 1,A,1,6,1,3,2,0,0,1,0,0.5,0.5,0.833,1.333,0,0,0.0,0,0,0,0,0,0.0,0,0
Brock Alexander,,Dakota,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Brody Black,OF,Frontier,JUCO: Division 1,A,6,18,2,7,1,1,0,2,0,0.389,0.45,0.556,1.006,0,0,0.0,0,0,0,0,0,0.0,0,0
Brody Forno,RHP,Williston State,JUCO: Division 2,A,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4.0,0,0,2,3,3,4.5,0,4
Caden Griffin,LHP,Bossier Parish,JUCO: Division 1,A,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,13.1,1,0,10,17,4,6.75,0,9
