Name,Position,School,Division,Type,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Games Started (GS),Innings Pitched (IP),Wins (W),Losses (L),Earned Runs (ER),Hits Allowed (H),Walks Allowed (BB),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
AJ Karosas,IF,Erie,JUCO: Division 3,A,20,58,9,18,4,0,0,11,3,0.31,0.412,0.379,0.791,0,0,0.0,0,0,0,0,0,0.0,0,0
AJ Yamaguchi,RHP,University of Texas at Tyler,NCAA: Division 2,P,0,0,0,0,0,0,0,0,0,,,,,3,0,1.2,0,0,6,4,3,32.4,0,0
Aaoron Vulcano,C/OF,Colby,JUCO: Division 1,A,8,22,3,4,0,0,1,1,0,0.182,0.25,0.318,0.568,0,0,0.0,0,0,0,0,0,0.0,0,0
Aaron Duffy,RHP,Canisius College,NCAA: Division 1,P,0,0,0,0,0,0,0,0,0,,,,,5,5,16.0,0,3,15,17,8,8.44,0,11
Aaron Manias,IF,Howard (TX),JUCO: Division 1,A,26,71,14,20,4,0,3,19,3,0.282,0.388,0.465,0.853,0,0,0.0,0,0,0,0,0,0.0,0,0
Aaron Marsh,INF,Cochise,JUCO: Division 1,A,29,91,23,29,7,2,1,14,4,0.319,0.37,0.473,0.843,0,0,0.0,0,0,0,0,0,0.0,0,0
Aaron Rutherford,RHP,Monroe CC,JUCO: Division 2,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0
Adam Hill,RHP,Jefferson (MO),JUCO: Division 1,A,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,3.0,0,0,0,3,1,0.0,0,2
Adam Inouye,MI,Academy of Art University,NCAA: Division 2,H,31,113,13,26,2,0,0,5,0,0.23,0.281,0.248,0.529,0,0,,0,0,0,0,0,,0,0
Adam Khan,RHP,University of British Columbia,NAIA,A,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0
